https://www.biblegateway.com/versions/Revised-Standard-Version-Catholic-Edition-RSVCE-Bible/#booklist
Genesis 	1234567891011121314151617181920212223242526272829303132333435363738394041424344454647484950
Exodus 	12345678910111213141516171819202122232425262728293031323334353637383940
Leviticus 	123456789101112131415161718192021222324252627
Numbers 	123456789101112131415161718192021222324252627282930313233343536
Deuteronomy 	12345678910111213141516171819202122232425262728293031323334
Joshua 	123456789101112131415161718192021222324
Judges 	123456789101112131415161718192021
Ruth 	1234
1 Samuel 	12345678910111213141516171819202122232425262728293031
2 Samuel 	123456789101112131415161718192021222324
1 Kings 	12345678910111213141516171819202122
2 Kings 	12345678910111213141516171819202122232425
1 Chronicles 	1234567891011121314151617181920212223242526272829
2 Chronicles 	123456789101112131415161718192021222324252627282930313233343536
Ezra 	12345678910
Nehemiah 	12345678910111213
Tobit 	1234567891011121314
Judith 	12345678910111213141516
Esther 	12345678910
1 Maccabees 	12345678910111213141516
2 Maccabees 	123456789101112131415
Job 	123456789101112131415161718192021222324252627282930313233343536373839404142
Psalm 	123456789101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899100101102103104105106107108109110111112113114115116117118119120121122123124125126127128129130131132133134135136137138139140141142143144145146147148149150
Proverbs 	12345678910111213141516171819202122232425262728293031
Ecclesiastes 	123456789101112
Song of Solomon 	12345678
Wisdom 	12345678910111213141516171819
Sirach 	123456789101112131415161718192021222324252627282930313233343536373839404142434445464748495051
Isaiah 	123456789101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566
Jeremiah 	12345678910111213141516171819202122232425262728293031323334353637383940414243444546474849505152
Lamentations 	12345
Baruch 	123456
Ezekiel 	123456789101112131415161718192021222324252627282930313233343536373839404142434445464748
Daniel 	1234567891011121314
Hosea 	1234567891011121314
Joel 	123
Amos 	123456789
Obadiah 	1
Jonah 	1234
Micah 	1234567
Nahum 	123
Habakkuk 	123
Zephaniah 	123
Haggai 	12
Zechariah 	1234567891011121314
Malachi 	1234
Matthew 	12345678910111213141516171819202122232425262728
Mark 	12345678910111213141516
Luke 	123456789101112131415161718192021222324
John 	123456789101112131415161718192021
Acts 	12345678910111213141516171819202122232425262728
Romans 	12345678910111213141516
1 Corinthians 	12345678910111213141516
2 Corinthians 	12345678910111213
Galatians 	123456
Ephesians 	123456
Philippians 	1234
Colossians 	1234
1 Thessalonians 	12345
2 Thessalonians 	123
1 Timothy 	123456
2 Timothy 	1234
Titus 	123
Philemon 	1
Hebrews 	12345678910111213
James 	12345
1 Peter 	12345
2 Peter 	123
1 John 	12345
2 John 	1
3 John 	1
Jude 	1
Revelation 	12345678910111213141516171819202122
